Data Check 1,Data Check 2 ,Study Phase ,Site ,Tran,Dist ,Rep or Extra,Date(s) of Procedure ,Crucible Number # ,Empty Crucible Weight,Subsample Weight (Filter + Sediment on Filter) ,Post-Burn Weight 
,,M4,B,2,12,a ,,,,,
,,M4,B,2,12,b ,,,,,
,,M4,B,2,12,c,,,,,
,,M4,B,2,24,a ,,,,,
,,M4,B,2,24,b ,,,,,
,,M4,B,2,24,c,,,,,
,,M4,B,2,48,a ,,,,,
,,M4,B,2,48,b ,,,,,
,,M4,B,2,48,c,,,,,
,,M4,B,,,E1 ,,,,,
,,M4,B,,,E2 ,,,,,
,,M4,B,,,E3,,,,,
,,M4,B,,,E4 ,,,,,
,,M4,G,1,0.5,a,,,,,
,,M4,G,1,0.5,b ,,,,,
,,M4,G,1,0.5,c,,,,,
,,M4,G,1,2,a,,,,,
,,M4,G,1,2,b ,,,,,
,,M4,G,1,2,c,,,,,
,,M4,G,1,6,a,,,,,
,,M4,G,1,6,b ,,,,,
,,M4,G,1,6,c,,,,,
,,M4,G,1,12,a,,,,,
,,M4,G,1,12,b ,,,,,
,,M4,G,1,12,c,,,,,
,,M4,G,1,24,a ,,,,,
,,M4,G,1,24,b ,,,,,
,,M4,G,1,24,c,,,,,
,,M4,G,1,48,a,,,,,
,,M4,G,1,48,b ,,,,,
,,M4,G,1,48,c,,,,,
,,M4,G,2,0.5,a,,,,,
,,M4,G,2,0.5,b ,,,,,
,,M4,G,2,0.5,c,,,,,
,,M4,G,2,2,a,,,,,
,,M4,G,2,2,b ,,,,,
,,M4,G,2,2,c,,,,,
,,M4,G,2,6,a,,,,,
,,M4,G,2,6,b ,,,,,
,,M4,G,2,6,c,,,,,
,,M4,G,2,12,a,,,,,
,,M4,G,2,12,b ,,,,,
,,M4,G,2,12,c,,,,,
,,M4,G,2,24,a ,,,,,
,,M4,G,2,24,b ,,,,,
,,M4,G,2,24,c,,,,,
,,M4,G,2,48,a,,,,,
,,M4,G,2,48,b ,,,,,
,,M4,G,2,48,c,,,,,
,,M4,G,,,E-1 ,,,,,
,,M4,G,,,E-2 ,,,,,
,,M4,G,,,E-3 ,,,,,
,,M4,G,,,E-4 ,,,,,
,,M4,C,1,0.5,a,,,,,
,,M4,C,1,0.5,b ,,,,,
,,M4,C,1,0.5,c,,,,,
,,M4,C,1,2,a,,,,,
,,M4,C,1,2,b ,,,,,
,,M4,C,1,2,c,,,,,
,,M4,C,1,6,a,,,,,
,,M4,C,1,6,b ,,,,,
,,M4,C,1,6,c,,,,,
,,M4,C,1,12,a,,,,,
,,M4,C,1,12,b ,,,,,
,,M4,C,1,12,c,,,,,
,,M4,C,1,24,a ,,,,,
,,M4,C,1,24,b ,,,,,
,,M4,C,1,24,c,,,,,
,,M4,C,1,48,a,,,,,
,,M4,C,1,48,b ,,,,,
,,M4,C,1,48,c,,,,,
,,M4,C,2,0.5,a,,,,,
,,M4,C,2,0.5,b ,,,,,
,,M4,C,2,0.5,c,,,,,
,,M4,C,2,2,a,,,,,
,,M4,C,2,2,b ,,,,,
,,M4,C,2,2,c,,,,,
,,M4,C,2,6,a,,,,,
,,M4,C,2,6,b ,,,,,
,,M4,C,2,6,c,,,,,
,,M4,C,2,12,a,,,,,
,,M4,C,2,12,b ,,,,,
,,M4,C,2,12,c,,,,,
,,M4,C,2,24,a ,,,,,
,,M4,C,2,24,b ,,,,,
,,M4,C,2,24,c,,,,,
,,M4,C,2,48,a,,,,,
,,M4,C,2,48,b ,,,,,
,,M4,C,2,48,c,,,,,
,,M4,C,,,E-1 ,,,,,
,,M4,C,,,E-2 ,,,,,
,,M4,C,,,E-3 ,,,,,
,,M4,C,,,E-4 ,,,,,
,,M4,S,1,0.5,a,,,,,
,,M4,S,1,0.5,b ,,,,,
,,M4,S,1,0.5,c,,,,,
,,M4,S,1,2,a,,,,,
,,M4,S,1,2,b ,,,,,
,,M4,S,1,2,c,,,,,
,,M4,S,1,6,a,,,,,
,,M4,S,1,6,b ,,,,,
,,M4,S,1,6,c,,,,,
,,M4,S,1,12,a,,,,,
,,M4,S,1,12,b ,,,,,
,,M4,S,1,12,c,,,,,
,,M4,S,1,24,a ,,,,,
,,M4,S,1,24,b ,,,,,
,,M4,S,1,24,c,,,,,
,,M4,S,1,48,a,,,,,
,,M4,S,1,48,b ,,,,,
,,M4,S,1,48,c,,,,,
,,M4,S,2,0.5,a,,,,,
,,M4,S,2,0.5,b ,,,,,
,,M4,S,2,0.5,c,,,,,
,,M4,S,2,2,a,,,,,
,,M4,S,2,2,b ,,,,,
,,M4,S,2,2,c,,,,,
,,M4,S,2,6,a,,,,,
,,M4,S,2,6,b ,,,,,
,,M4,S,2,6,c,,,,,
,,M4,S,2,12,a,,,,,
,,M4,S,2,12,b ,,,,,
,,M4,S,2,12,c,,,,,
,,M4,S,2,24,a ,,,,,
